control_id,technique_id,mapping_type,matrix
ac-2,T1059.007,mitigates,nist-800-53-r5
ac-2,T1070.002,mitigates,nist-800-53-r5
ac-2,T1072,mitigates,nist-800-53-r5
ac-2,T1078.001,mitigates,nist-800-53-r5
ac-2,T1078.003,mitigates,nist-800-53-r5
ac-2,T1087.004,mitigates,nist-800-53-r5
ac-2,T1110,mitigates,nist-800-53-r5
ac-2,T1110.003,mitigates,nist-800-53-r5
ac-2,T1110.004,mitigates,nist-800-53-r5
ac-2,T1134,mitigates,nist-800-53-r5
ac-2,T1134.001,mitigates,nist-800-53-r5
ac-2,T1134.002,mitigates,nist-800-53-r5
ac-2,T1134.003,mitigates,nist-800-53-r5
ac-2,T1136,mitigates,nist-800-53-r5
ac-2,T1136.001,mitigates,nist-800-53-r5
ac-2,T1136.002,mitigates,nist-800-53-r5
ac-2,T1136.003,mitigates,nist-800-53-r5
ac-2,T1185,mitigates,nist-800-53-r5
ac-2,T1213,mitigates,nist-800-53-r5
ac-2,T1213.001,mitigates,nist-800-53-r5
ac-2,T1213.002,mitigates,nist-800-53-r5
ac-2,T1222.001,mitigates,nist-800-53-r5
ac-2,T1222.002,mitigates,nist-800-53-r5
ac-2,T1484,mitigates,nist-800-53-r5
ac-2,T1489,mitigates,nist-800-53-r5
ac-2,T1505.002,mitigates,nist-800-53-r5
ac-2,T1538,mitigates,nist-800-53-r5
ac-2,T1542,mitigates,nist-800-53-r5
ac-2,T1542.001,mitigates,nist-800-53-r5
ac-2,T1542.003,mitigates,nist-800-53-r5
ac-2,T1542.005,mitigates,nist-800-53-r5
ac-2,T1543.002,mitigates,nist-800-53-r5
ac-2,T1543.004,mitigates,nist-800-53-r5
ac-2,T1547.012,mitigates,nist-800-53-r5
ac-2,T1547.013,mitigates,nist-800-53-r5
ac-2,T1548,mitigates,nist-800-53-r5
ac-2,T1550,mitigates,nist-800-53-r5
ac-2,T1550.002,mitigates,nist-800-53-r5
ac-2,T1550.003,mitigates,nist-800-53-r5
ac-2,T1552,mitigates,nist-800-53-r5
ac-2,T1552.001,mitigates,nist-800-53-r5
ac-2,T1552.002,mitigates,nist-800-53-r5
ac-2,T1552.004,mitigates,nist-800-53-r5
ac-2,T1552.006,mitigates,nist-800-53-r5
ac-2,T1556.001,mitigates,nist-800-53-r5
ac-2,T1556.003,mitigates,nist-800-53-r5
ac-2,T1558.001,mitigates,nist-800-53-r5
ac-2,T1558.002,mitigates,nist-800-53-r5
ac-2,T1558.004,mitigates,nist-800-53-r5
ac-2,T1559.001,mitigates,nist-800-53-r5
ac-2,T1562.002,mitigates,nist-800-53-r5
ac-2,T1562.004,mitigates,nist-800-53-r5
ac-2,T1562.007,mitigates,nist-800-53-r5
ac-2,T1562.009,mitigates,nist-800-53-r5
ac-2,T1563,mitigates,nist-800-53-r5
ac-2,T1563.001,mitigates,nist-800-53-r5
ac-2,T1563.002,mitigates,nist-800-53-r5
ac-2,T1569,mitigates,nist-800-53-r5
ac-2,T1569.001,mitigates,nist-800-53-r5
ac-2,T1569.002,mitigates,nist-800-53-r5
ac-2,T1574.004,mitigates,nist-800-53-r5
ac-2,T1574.005,mitigates,nist-800-53-r5
ac-2,T1574.008,mitigates,nist-800-53-r5
ac-2,T1574.009,mitigates,nist-800-53-r5
ac-2,T1574.010,mitigates,nist-800-53-r5
ac-2,T1574.012,mitigates,nist-800-53-r5
ac-2,T1578,mitigates,nist-800-53-r5
ac-2,T1578.001,mitigates,nist-800-53-r5
ac-2,T1578.002,mitigates,nist-800-53-r5
ac-2,T1578.003,mitigates,nist-800-53-r5
ac-2,T1599.001,mitigates,nist-800-53-r5
ac-2,T1601,mitigates,nist-800-53-r5
ac-2,T1601.001,mitigates,nist-800-53-r5
ac-2,T1601.002,mitigates,nist-800-53-r5
ac-2,T1606,mitigates,nist-800-53-r5
ac-2,T1606.001,mitigates,nist-800-53-r5
ac-2,T1606.002,mitigates,nist-800-53-r5
ac-2,T1612,mitigates,nist-800-53-r5
ac-2,T1613,mitigates,nist-800-53-r5
ac-2,T1619,mitigates,nist-800-53-r5
ac-2,T1003.001,mitigates,nist-800-53-r5
ac-2,T1003.002,mitigates,nist-800-53-r5
ac-2,T1003.003,mitigates,nist-800-53-r5
ac-2,T1005,mitigates,nist-800-53-r5
ac-2,T1055,mitigates,nist-800-53-r5
ac-2,T1068,mitigates,nist-800-53-r5
ac-2,T1078,mitigates,nist-800-53-r5
ac-2,T1110.001,mitigates,nist-800-53-r5
ac-2,T1110.002,mitigates,nist-800-53-r5
ac-2,T1212,mitigates,nist-800-53-r5
ac-2,T1218,mitigates,nist-800-53-r5
ac-2,T1528,mitigates,nist-800-53-r5
ac-2,T1530,mitigates,nist-800-53-r5
ac-2,T1552.007,mitigates,nist-800-53-r5
ac-2,T1556,mitigates,nist-800-53-r5
ac-2,T1580,mitigates,nist-800-53-r5
ac-2,T1599,mitigates,nist-800-53-r5
ac-2,T1611,mitigates,nist-800-53-r5
ac-2,T1070.007,mitigates,nist-800-53-r5
ac-2,T1070.008,mitigates,nist-800-53-r5
ac-2,T1070.009,mitigates,nist-800-53-r5
ac-2,T1098.005,mitigates,nist-800-53-r5
ac-2,T1505.005,mitigates,nist-800-53-r5
ac-2,T1648,mitigates,nist-800-53-r5
ac-2,T1556.005,mitigates,nist-800-53-r5
ac-2,T1556.006,mitigates,nist-800-53-r5
ac-2,T1556.007,mitigates,nist-800-53-r5
ac-2,T1585.003,mitigates,nist-800-53-r5
ac-2,T1586.003,mitigates,nist-800-53-r5
ac-2,T1621,mitigates,nist-800-53-r5
ac-20,T1020.001,mitigates,nist-800-53-r5
ac-20,T1021.001,mitigates,nist-800-53-r5
ac-20,T1078.002,mitigates,nist-800-53-r5
ac-20,T1078.004,mitigates,nist-800-53-r5
ac-20,T1098.001,mitigates,nist-800-53-r5
ac-20,T1098.002,mitigates,nist-800-53-r5
ac-20,T1098.003,mitigates,nist-800-53-r5
ac-20,T1537,mitigates,nist-800-53-r5
ac-20,T1550.001,mitigates,nist-800-53-r5
ac-20,T1552.005,mitigates,nist-800-53-r5
ac-20,T1556.004,mitigates,nist-800-53-r5
ac-20,T1565,mitigates,nist-800-53-r5
ac-20,T1565.001,mitigates,nist-800-53-r5
ac-20,T1565.002,mitigates,nist-800-53-r5
ac-20,T1567,mitigates,nist-800-53-r5
ac-20,T1567.002,mitigates,nist-800-53-r5
ac-20,T1602.002,mitigates,nist-800-53-r5
ac-20,T1021,mitigates,nist-800-53-r5
ac-20,T1021.004,mitigates,nist-800-53-r5
ac-20,T1041,mitigates,nist-800-53-r5
ac-20,T1048,mitigates,nist-800-53-r5
ac-20,T1048.002,mitigates,nist-800-53-r5
ac-20,T1048.003,mitigates,nist-800-53-r5
ac-20,T1052,mitigates,nist-800-53-r5
ac-20,T1052.001,mitigates,nist-800-53-r5
ac-20,T1072,mitigates,nist-800-53-r5
ac-20,T1110,mitigates,nist-800-53-r5
ac-20,T1110.003,mitigates,nist-800-53-r5
ac-20,T1110.004,mitigates,nist-800-53-r5
ac-20,T1114,mitigates,nist-800-53-r5
ac-20,T1114.001,mitigates,nist-800-53-r5
ac-20,T1114.002,mitigates,nist-800-53-r5
ac-20,T1114.003,mitigates,nist-800-53-r5
ac-20,T1134.005,mitigates,nist-800-53-r5
ac-20,T1136,mitigates,nist-800-53-r5
ac-20,T1136.001,mitigates,nist-800-53-r5
ac-20,T1136.002,mitigates,nist-800-53-r5
ac-20,T1136.003,mitigates,nist-800-53-r5
ac-20,T1539,mitigates,nist-800-53-r5
ac-20,T1552,mitigates,nist-800-53-r5
ac-20,T1552.004,mitigates,nist-800-53-r5
ac-20,T1556.001,mitigates,nist-800-53-r5
ac-20,T1556.003,mitigates,nist-800-53-r5
ac-20,T1557.002,mitigates,nist-800-53-r5
ac-20,T1567.001,mitigates,nist-800-53-r5
ac-20,T1602,mitigates,nist-800-53-r5
ac-20,T1602.001,mitigates,nist-800-53-r5
ac-20,T1110.001,mitigates,nist-800-53-r5
ac-20,T1110.002,mitigates,nist-800-53-r5
ac-20,T1119,mitigates,nist-800-53-r5
ac-20,T1133,mitigates,nist-800-53-r5
ac-20,T1200,mitigates,nist-800-53-r5
ac-20,T1530,mitigates,nist-800-53-r5
ac-20,T1556,mitigates,nist-800-53-r5
ac-20,T1557,mitigates,nist-800-53-r5
ac-20,T1098.004,mitigates,nist-800-53-r5
ac-20,T1098.005,mitigates,nist-800-53-r5
ac-20,T1505.005,mitigates,nist-800-53-r5
ac-20,T1583.007,mitigates,nist-800-53-r5
ac-20,T1584.007,mitigates,nist-800-53-r5
ac-21,T1213,mitigates,nist-800-53-r5
ac-21,T1213.001,mitigates,nist-800-53-r5
ac-21,T1213.002,mitigates,nist-800-53-r5
ac-23,T1567,mitigates,nist-800-53-r5
ac-23,T1025,mitigates,nist-800-53-r5
ac-23,T1041,mitigates,nist-800-53-r5
ac-23,T1048,mitigates,nist-800-53-r5
ac-23,T1048.002,mitigates,nist-800-53-r5
ac-23,T1048.003,mitigates,nist-800-53-r5
ac-23,T1052,mitigates,nist-800-53-r5
ac-23,T1052.001,mitigates,nist-800-53-r5
ac-23,T1213,mitigates,nist-800-53-r5
ac-23,T1213.001,mitigates,nist-800-53-r5
ac-23,T1213.002,mitigates,nist-800-53-r5
ac-23,T1005,mitigates,nist-800-53-r5
ac-23,T1133,mitigates,nist-800-53-r5
ac-23,T1552.007,mitigates,nist-800-53-r5
ac-3,T1021.001,mitigates,nist-800-53-r5
ac-3,T1037.002,mitigates,nist-800-53-r5
ac-3,T1037.005,mitigates,nist-800-53-r5
ac-3,T1047,mitigates,nist-800-53-r5
ac-3,T1053,mitigates,nist-800-53-r5
ac-3,T1053.002,mitigates,nist-800-53-r5
ac-3,T1053.003,mitigates,nist-800-53-r5
ac-3,T1053.005,mitigates,nist-800-53-r5
ac-3,T1059,mitigates,nist-800-53-r5
ac-3,T1059.001,mitigates,nist-800-53-r5
ac-3,T1059.002,mitigates,nist-800-53-r5
ac-3,T1059.005,mitigates,nist-800-53-r5
ac-3,T1059.008,mitigates,nist-800-53-r5
ac-3,T1070,mitigates,nist-800-53-r5
ac-3,T1070.001,mitigates,nist-800-53-r5
ac-3,T1070.003,mitigates,nist-800-53-r5
ac-3,T1078.002,mitigates,nist-800-53-r5
ac-3,T1078.004,mitigates,nist-800-53-r5
ac-3,T1095,mitigates,nist-800-53-r5
ac-3,T1098,mitigates,nist-800-53-r5
ac-3,T1098.001,mitigates,nist-800-53-r5
ac-3,T1098.002,mitigates,nist-800-53-r5
ac-3,T1098.003,mitigates,nist-800-53-r5
ac-3,T1098.004,mitigates,nist-800-53-r5
ac-3,T1190,mitigates,nist-800-53-r5
ac-3,T1197,mitigates,nist-800-53-r5
ac-3,T1205,mitigates,nist-800-53-r5
ac-3,T1205.001,mitigates,nist-800-53-r5
ac-3,T1210,mitigates,nist-800-53-r5
ac-3,T1213.003,mitigates,nist-800-53-r5
ac-3,T1218.007,mitigates,nist-800-53-r5
ac-3,T1218.012,mitigates,nist-800-53-r5
ac-3,T1219,mitigates,nist-800-53-r5
ac-3,T1222,mitigates,nist-800-53-r5
ac-3,T1486,mitigates,nist-800-53-r5
ac-3,T1490,mitigates,nist-800-53-r5
ac-3,T1491,mitigates,nist-800-53-r5
ac-3,T1491.001,mitigates,nist-800-53-r5
ac-3,T1491.002,mitigates,nist-800-53-r5
ac-3,T1495,mitigates,nist-800-53-r5
ac-3,T1498.001,mitigates,nist-800-53-r5
ac-3,T1498.002,mitigates,nist-800-53-r5
ac-3,T1499,mitigates,nist-800-53-r5
ac-3,T1499.001,mitigates,nist-800-53-r5
ac-3,T1499.002,mitigates,nist-800-53-r5
ac-3,T1499.003,mitigates,nist-800-53-r5
ac-3,T1499.004,mitigates,nist-800-53-r5
ac-3,T1505,mitigates,nist-800-53-r5
ac-3,T1505.003,mitigates,nist-800-53-r5
ac-3,T1525,mitigates,nist-800-53-r5
ac-3,T1537,mitigates,nist-800-53-r5
ac-3,T1543,mitigates,nist-800-53-r5
ac-3,T1543.001,mitigates,nist-800-53-r5
ac-3,T1543.003,mitigates,nist-800-53-r5
ac-3,T1546.003,mitigates,nist-800-53-r5
ac-3,T1547.003,mitigates,nist-800-53-r5
ac-3,T1547.004,mitigates,nist-800-53-r5
ac-3,T1547.006,mitigates,nist-800-53-r5
ac-3,T1547.007,mitigates,nist-800-53-r5
ac-3,T1547.009,mitigates,nist-800-53-r5
ac-3,T1548.002,mitigates,nist-800-53-r5
ac-3,T1548.003,mitigates,nist-800-53-r5
ac-3,T1552.005,mitigates,nist-800-53-r5
ac-3,T1556.004,mitigates,nist-800-53-r5
ac-3,T1558,mitigates,nist-800-53-r5
ac-3,T1558.003,mitigates,nist-800-53-r5
ac-3,T1559,mitigates,nist-800-53-r5
ac-3,T1562,mitigates,nist-800-53-r5
ac-3,T1562.001,mitigates,nist-800-53-r5
ac-3,T1562.006,mitigates,nist-800-53-r5
ac-3,T1562.008,mitigates,nist-800-53-r5
ac-3,T1565,mitigates,nist-800-53-r5
ac-3,T1565.001,mitigates,nist-800-53-r5
ac-3,T1565.003,mitigates,nist-800-53-r5
ac-3,T1567,mitigates,nist-800-53-r5
ac-3,T1570,mitigates,nist-800-53-r5
ac-3,T1574,mitigates,nist-800-53-r5
ac-3,T1574.007,mitigates,nist-800-53-r5
ac-3,T1602.002,mitigates,nist-800-53-r5
ac-3,T1609,mitigates,nist-800-53-r5
ac-3,T1610,mitigates,nist-800-53-r5
ac-3,T1003,mitigates,nist-800-53-r5
ac-3,T1003.004,mitigates,nist-800-53-r5
ac-3,T1003.005,mitigates,nist-800-53-r5
ac-3,T1003.006,mitigates,nist-800-53-r5
ac-3,T1003.007,mitigates,nist-800-53-r5
